bluzka, koszula
13
dres
27
futro sztuczne długie
50
garnitur
42
habit, toga, sutanna
50
kamizelka
11
krawat
11
kołdra, śpiwór
35
kombinezon
50
kurtka
28
kurtka puchowa
46,50
marynarka
22,50
mundur
42
płaszcz
28
płaszcz puchowy
60
spodnie
19,50
smoking
70
sukienka prosta
23,50
suknia ślubna
od 130
suknia wieczorowa
od 65
spódnica zwykłą
19,50
spódnica plisowana
28
sweter
12,50
szal
10
wiatrówka
24,50
zasłona - 1m
6,50
firanki - 1m
6,50
żakiet
22
